"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"192","Reagan County",172,15.3,942,83.81,10,0.89,1.5,10.4,52.8,17.2,6.1,7.3,4.7,0.3645,70319,83863,3044.05,1.09,3385,67.44,28.6,0.97,0.35,0.56,0.03,0.18,1.86,34.42,8.92,10.9,24.22,21.54,"Republican"
"193","Real County",320,16.15,1643,82.9,19,0.96,7.2,3.8,36.9,26.6,4.6,16.1,4.9,0.4783,46842,72231,1810.81,1.56,2758,25.09,70.34,0.8,0.29,0.44,0.11,0.07,2.86,25.82,25.43,27.14,11.46,10.14,"Republican"
"194","Red River County",1246,21.46,4517,77.8,43,0.74,5.4,9.5,40,24.2,6.9,9.3,4.7,0.451,44583,58759,2703.68,4.3,11587,6.61,73.35,15,0.88,0.44,0,0.11,3.61,24.51,18.34,19.68,18.67,18.8,"Republican"
"195","Reeves County",1395,37.84,2254,61.13,38,1.03,13.7,15.5,36.2,18.2,6.6,7.8,2,0.4448,57487,74058,6825.53,2.05,14748,84.83,11.51,1.52,0.18,1.12,0.02,0.26,0.56,17.17,17.8,16.73,29,19.3,"Republican"
"196","Refugio County",1108,32.92,2210,65.66,48,1.43,5.8,10.4,43.7,22.5,6.4,8.2,3,0.46,54304,67596,1995.55,3.37,6741,49.04,42.49,5.93,0.27,0.4,0,0.18,1.69,19.29,26.75,24.95,14.35,14.66,"Republican"
"197","Roberts County",17,3.09,529,96.18,4,0.73,0,8.2,37.7,21.6,13.2,14.2,5,0.3783,62667,77618,2393.3,0.32,827,6.05,86.7,0.24,0.24,0,0,0.12,6.65,40.2,9.55,23.12,10.8,16.33,"Republican"
"198","Robertson County",2374,29.31,5646,69.71,79,0.98,5.2,9.5,38.4,20.2,8.4,12.6,5.8,0.4615,59410,79074,2214.84,7.64,16757,21.05,56.72,18.47,0.17,0.62,0.13,0.22,2.61,26.26,25.13,18.91,14.22,15.49,"Republican"
"199","Rockwall County",16412,30.45,36726,68.15,753,1.4,2.5,3.2,18.5,22.5,9.4,27.9,16,0.4127,121303,154691,329.47,335.78,107819,19.07,65.11,7.59,0.44,3.07,0.07,0.32,4.34,50.06,12.83,22.71,6.03,8.37,"Republican"
"200","Runnels County",552,12.52,3807,86.35,50,1.13,9.2,7.9,35.8,22.1,6.7,13,5.3,0.4325,55424,75022,2722.26,3.62,9900,33.88,61.23,1.33,0.39,0.24,0.06,0.15,2.71,33,17.6,17.31,14.73,17.37,"Republican"
"201","Rusk County",4629,21.66,16534,77.38,205,0.96,5,10.9,33,25.9,9.4,10.4,5.4,0.4569,61661,84856,2393.66,22.04,52214,18.35,61.33,15.78,0.37,0.44,0.03,0.31,3.38,30,16,19.42,13.88,20.7,"Republican"
"202","Sabine County",669,12.19,4784,87.19,34,0.62,4.2,8.9,35.6,24.3,9.1,9.5,8.4,0.5205,47061,73675,1273.52,7.84,9894,3.97,83.96,7.42,0.52,0.53,0,0.35,3.25,24.99,22.27,22.93,14.19,15.63,"Republican"
"203","San Augustine County",980,24.49,3007,75.14,15,0.37,4.9,12.8,45.1,21,3.5,7.5,5.3,0.483,45888,59266,1374.4,5.76,7918,8.07,66.56,22.33,0.24,0.45,0,0,2.35,24.16,16.66,21.39,13.81,23.97,"Republican"
"204","San Jacinto County",2337,18.49,10161,80.4,140,1.11,5.8,8.6,39.7,24.2,5.6,8.9,7.1,0.4475,54839,76309,1474.33,18.77,27402,17.6,69.96,7.6,0.45,0.31,0.05,0.27,3.76,29.03,20.27,16.01,14.57,20.12,"Republican"
"205","San Patricio County",8988,34.72,16516,63.8,384,1.48,8.2,9.5,33.2,23.8,7.7,11.9,5.7,0.462,63842,85477,1795.69,38.39,68755,55.59,38.71,1.45,0.29,1.23,0.1,0.33,2.32,32.63,20.08,18.01,12.36,16.92,"Republican"
"206","San Saba County",287,11.03,2308,88.7,7,0.27,6.2,8,39.5,22.6,4.3,14,5.4,0.4248,54087,71975,2940.45,1.97,5730,30.52,64.4,1.85,0.51,0.28,0.02,0.17,2.25,29.42,23.4,17.42,12.52,17.25,"Republican"
"207","Schleicher County",211,18.21,940,81.1,8,0.69,9.8,8.2,29.7,32.7,6,9.8,3.7,0.4221,53774,70578,3394.55,0.73,2451,52.02,44.96,0.61,0.16,0.29,0.08,0.41,1.47,30.62,9.21,21.32,21.51,17.34,"Republican"
"208","Scurry County",818,13.94,4983,84.9,68,1.16,7.9,7.7,32.9,24.7,8.3,13.5,5,0.4213,58932,82991,2345.09,7.2,16932,42.16,51.01,3.54,0.35,0.48,0.03,0.16,2.26,24.74,20.92,21.31,18.47,14.57,"Republican"
"209","Shackelford County",130,7.99,1484,91.15,14,0.86,0.5,6,23.8,29.4,7.9,26.3,6.1,0.4393,60924,76415,2367.99,1.32,3105,11.69,84.12,0.64,0.19,0.45,0,0.06,2.83,30.78,15.32,29.31,14.66,9.93,"Republican"
"210","Shelby County",2068,20.51,7975,79.09,41,0.41,8.2,10.1,36.9,25.2,5.7,10,3.9,0.4556,49231,69370,2060.57,11.72,24022,19.5,60.01,15.84,0.21,1.52,0.06,0.2,2.66,28.11,18.81,18.07,13.59,21.41,"Republican"
"211","Sherman County",91,9.18,886,89.4,14,1.41,13.7,14.2,23.2,21.5,5.6,16.7,5.1,0.5605,66169,116652,2390.2,1.01,2782,47.27,48.96,0.36,0.18,0.07,0,0.22,2.95,30.4,13.52,18.17,22.91,14.99,"Republican"
