"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"72","Peoria County",43578,51.9,38252,45.55,2143,2.55,2.2,4.9,27.5,21.9,9.7,20.5,13.2,0.4919,63409,90221,1602.41,113.07,181830,5.55,66.34,18.5,0.19,4.25,0.03,0.43,4.71,43.04,18.99,19.08,6.54,12.36,"Democrat"
"73","Perry County",2612,25.94,7313,72.61,146,1.45,3.6,11.9,35.1,26.6,11.8,7.5,3.5,0.4145,56338,69605,1144.59,18.34,20945,3.41,84.88,7.89,0.16,0.6,0,0.16,2.89,29.77,21.61,18.8,11.01,18.81,"Republican"
"74","Piatt County",3329,33.79,6248,63.43,274,2.78,1.3,4.8,32.2,19.7,11.1,19.6,11.3,0.4171,81151,100385,1137.49,14.68,16673,1.48,93.56,0.5,0.14,0.48,0.01,0.31,3.53,41.03,13.86,21.31,10.81,13,"Republican"
"75","Pike County",1484,18.63,6332,79.5,149,1.87,2.2,6.8,41.6,22.4,9,13.1,4.9,0.4275,55514,69755,2153.19,6.86,14739,1.78,94.13,0.43,0.22,0.29,0.04,0.14,2.97,29.72,18.35,20.44,12.26,19.24,"Republican"
"76","Pope County",433,19.91,1722,79.17,20,0.92,5.3,6.5,41,22.7,9,10.4,5,0.4413,57582,66317,955.36,3.98,3763,1.89,92.77,1.01,0.03,0.43,0,0,3.88,38.63,21.65,13.32,10.05,16.36,"Republican"
"77","Pulaski County",891,33.87,1699,64.58,41,1.56,3.1,8.9,40.7,24.7,8.2,9,5.5,0.4571,41038,56897,516.1,10.03,5193,3.93,62.49,28.15,0.69,0.25,0,0.27,4.22,24.69,24.3,21.54,12.49,16.99,"Republican"
"78","Putnam County",1338,39.47,1993,58.79,59,1.74,1,5.4,36.9,21.2,12.1,15,8.5,0.38,75726,86843,414.65,13.57,5637,6.17,89.99,0.46,0.12,0.32,0.07,0.14,2.71,27.53,16.36,18.59,15.05,22.47,"Republican"
"79","Randolph County",3592,24.09,11076,74.29,242,1.62,3.8,10.2,38.1,25,9.2,8.6,5.1,0.4034,63860,76855,1490.19,20.41,30163,3.42,84.41,7.89,0.16,0.29,0.02,0.24,3.57,26.28,21.81,20.25,11.54,20.11,"Republican"
"80","Richland County",1830,22.7,6089,75.52,144,1.79,2.2,5.7,32,23,18.2,12.5,6.3,0.4033,61607,72845,932.48,16.85,15813,1.73,93.68,0.47,0.18,0.78,0.04,0.14,2.98,29.87,18.63,19.34,8.33,23.82,"Republican"
"81","Rock Island County",36691,54.91,28603,42.81,1523,2.28,3.8,6.6,30,25,10.5,15.3,8.8,0.4319,64435,80579,1107.21,129.89,144672,13.72,67.52,11.18,0.17,2.79,0.02,0.33,4.27,33.03,17.77,20.76,8.02,20.42,"Democrat"
"82","Saline County",2789,25.15,8103,73.07,197,1.78,4.7,7.1,29.8,24.3,13.8,14.2,6.1,0.5105,51710,78176,984.17,24.04,23768,1.99,89.65,2.91,0.29,0.51,0,0.4,4.25,34.5,20.99,18.95,12.64,12.91,"Republican"
"83","Sangamon County",48917,46.7,53485,51.06,2349,2.24,1.6,5.2,28.3,21.5,8.7,20.6,13.9,0.4595,71653,94790,2248.7,87.22,196343,2.7,76.63,13.08,0.18,2.19,0.03,0.37,4.81,44.39,17.32,21.79,6.21,10.28,"Republican"
"84","Schuyler County",1068,27.26,2773,70.78,77,1.97,1.4,6.9,39.2,25.2,10.3,11.2,5.7,0.4144,63737,79229,1132.6,6.07,6902,2.2,89.21,4.1,0.41,0.36,0.03,0.25,3.45,31.06,18.49,21.71,9.95,18.79,"Republican"
"85","Scott County",572,20.87,2114,77.13,55,2.01,2,5.3,46.1,16.3,8.4,17.2,4.9,0.3986,70500,79099,649.54,7.54,4949,0.97,95.92,0.1,0.02,0.22,0.02,0.1,2.65,38.86,14.05,15.92,12.58,18.59,"Republican"
"86","Shelby County",2504,20.7,9426,77.92,167,1.38,1.7,4.5,42.5,21.1,12.1,13.2,5.1,0.3862,65585,76869,1964.53,10.71,20990,1.01,95.84,0.31,0.17,0.4,0,0.19,2.08,30.17,20.35,19.71,10.67,19.1,"Republican"
"87","St. Clair County",68325,53.34,57150,44.61,2629,2.05,2.4,5.4,26.5,24.1,11.3,17.7,12.6,0.4503,68915,89002,1703.53,150.74,257400,4.89,58.47,29.53,0.19,1.41,0.07,0.45,5,38.46,18.5,20.81,7.65,14.58,"Democrat"
"88","Stark County",815,28.24,2004,69.44,67,2.32,3.1,5.9,40,19.9,12.1,13.6,5.4,0.4486,58125,75678,746.19,7.23,5400,2.44,93.89,0.31,0.15,0.43,0,0.09,2.69,30.23,13.99,22.35,16.28,17.15,"Republican"
"89","Stephenson County",9055,41.07,12521,56.79,472,2.14,2.5,5.7,33.4,27.4,10.7,13.1,7.2,0.4362,57527,74090,1461.39,30.44,44630,5.05,79.33,9.8,0.18,0.69,0.02,0.35,4.58,32.84,16.44,20.49,9.4,20.82,"Republican"
