"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1","Autauga County","Alabama",7503,27.02,19838,71.44,429,1.54,1.7,7.9,31.1,21,8.7,16.7,12.8,0.4541,68315,90372,1539.63,38.17,58805,3.6,70.71,19.3,0.31,1.48,0.04,0.31,4.23,36.39,14.24,22.02,9.99,17.36,"Republican"
"2","Baldwin County","Alabama",24578,22.41,83544,76.17,1557,1.42,2,6.4,27.8,21.7,9.6,20,12.5,0.4648,71039,96027,4117.73,56.69,231767,5.47,80.47,7.77,0.56,0.88,0.05,0.33,4.47,35.62,17.14,24.2,9.91,13.13,"Republican"
"3","Barbour County","Alabama",4816,45.79,5622,53.45,80,0.76,7.3,16.2,36.8,19.9,7.9,6.6,5.3,0.5098,39712,60128,2292.16,10.85,25223,5.99,43.95,46.98,0.23,0.41,0,0.25,2.19,27.73,20.16,19.49,12.53,20.09,"Republican"
"4","Bibb County","Alabama",1986,20.7,7525,78.43,84,0.88,6.4,14.7,40.9,19.1,8,6.6,4.3,0.4553,50669,65131,1612.19,13.8,22293,3.32,73.75,19.69,0.17,0.12,0.04,0.21,2.69,22.22,15.32,20.57,16.43,25.47,"Republican"
"5","Blount County","Alabama",2640,9.57,24711,89.57,237,0.86,7.1,11.1,35.3,20.7,11,9.4,5.3,0.4475,57440,75954,1670.26,35.37,59134,9.76,84.15,1.4,0.32,0.29,0.02,0.17,3.89,26.75,12.98,22.73,15.81,21.73,"Republican"
"6","Bullock County","Alabama",3446,74.7,1146,24.84,21,0.46,9.9,16.7,41.3,19.5,3.2,6.9,2.5,0.5058,36136,52269,1613.08,6.4,10357,4.86,22.02,71.33,0.01,0.09,0.07,0.3,1.32,20.73,18.19,9.83,16.88,34.38,"Democrat"
"7","Butler County","Alabama",3965,41.79,5458,57.53,65,0.69,3.9,8.5,48,19.1,7.4,7.8,5.3,0.4837,44429,65988,2012,9.43,19051,1.36,50.81,44.03,0.12,0.75,0.03,0.24,2.66,25.04,15.28,22.62,10.47,26.59,"Republican"
"8","Calhoun County","Alabama",15216,29.85,35101,68.85,666,1.31,4.4,10.5,34.6,23.2,8.1,11.5,7.6,0.4519,54339,69213,1569.25,74.02,116441,4.3,68.29,21.78,0.33,1,0.1,0.27,3.92,29.79,18.19,21,9.92,21.1,"Republican"
"9","Chambers County","Alabama",6365,41.64,8753,57.27,166,1.09,5.8,10.8,39.5,20.3,10.9,9.2,3.5,0.4371,48805,64377,1545.07,22.4,34772,3.56,53.54,38.65,0.2,1.11,0.03,0.33,2.58,26.71,17.74,17.31,9.73,28.51,"Republican"
"10","Cherokee County","Alabama",1624,13.2,10583,86.03,94,0.76,6.6,11.5,36.1,19.3,12,8.3,6.3,0.4484,46621,65664,1433.62,17.49,24971,1.6,90.36,3.95,0.44,0.22,0,0.18,3.24,34.57,16.41,16.83,11.98,20.21,"Republican"
"11","Chilton County","Alabama",3073,15.91,16085,83.3,152,0.79,5.9,11.9,41.6,19.1,7.5,8.2,5.8,0.4211,62471,73650,1794.44,25.16,45014,9.81,77.48,8.97,0.25,0.39,0.01,0.27,2.81,22.82,14.88,19.57,20.95,21.79,"Republican"
"12","Choctaw County","Alabama",3127,41.89,4296,57.56,41,0.55,6.4,11.2,38.2,21.5,9.7,9.6,3.4,0.4675,43299,61685,2365.9,5.35,12665,0.89,55.58,41.19,0.19,0.15,0,0.1,1.89,21.51,16.13,26.15,15.78,20.43,"Republican"
"13","Clarke County","Alabama",5755,43.81,7324,55.76,56,0.43,4.9,13.7,41,19.6,7,8.4,5.4,0.529,47549,71413,3207.49,7.19,23087,0.89,51.85,44.28,0.32,0.39,0,0.16,2.1,27.31,15.15,24.33,11.38,21.83,"Republican"
"14","Clay County","Alabama",1267,18.28,5601,80.82,62,0.89,5,11.6,37.4,21.3,11.8,9.2,3.6,0.48,48074,69549,1564.26,9.08,14236,3.15,79.1,13.64,0.32,0.32,0.03,0.18,3.25,33.48,10.76,15.37,11.62,28.77,"Republican"
"15","Cleburne County","Alabama",675,9.34,6484,89.72,68,0.94,5.2,12.3,39,19.5,7.6,11,5.5,0.4724,51553,71645,1450.67,10.44,15056,1.89,91.26,3.04,0.28,0.14,0.01,0.11,3.28,28.65,14.95,17.71,16.62,22.07,"Republican"
"16","Coffee County","Alabama",5076,22.79,16899,75.87,300,1.35,4.5,8.9,28.9,23,13.1,13.1,8.5,0.4354,62199,78477,1758.57,30.46,53465,9.14,66.88,16.17,0.76,1.67,0.11,0.36,4.91,31.19,18.76,18.69,14.03,17.33,"Republican"
"17","Colbert County","Alabama",8343,29.92,19203,68.86,340,1.22,3.6,10.1,36.6,23.3,8.4,11.2,6.8,0.4488,56149,71460,1535.74,37.29,57227,3.03,75.56,16.11,0.39,0.75,0.02,0.24,3.9,33.73,17.14,18.68,9.82,20.63,"Republican"
"18","Conecuh County","Alabama",2966,46.05,3442,53.44,33,0.51,2.9,7.7,48.3,19.8,8.1,7.7,5.7,0.4639,39888,56230,2202.21,5.26,11597,2.21,50.31,43.94,0.61,0.28,0,0.14,2.5,24.22,13.26,22.84,7.16,32.53,"Republican"
"19","Coosa County","Alabama",1796,32.78,3631,66.27,52,0.95,3.7,12.8,41.4,22.1,9.3,7.2,3.5,0.4216,52279,69810,1685.85,6.13,10387,1.94,65.53,28.88,0.24,0.08,0,0.45,2.88,23.97,15.51,22.62,14.06,23.84,"Republican"
"20","Covington County","Alabama",2721,15.61,14586,83.68,123,0.71,4.4,9.8,36.3,21.4,11.8,9.8,6.5,0.4908,48772,69704,2669.17,14.07,37570,1.74,81.6,12.15,0.37,0.64,0,0.19,3.31,31.23,15.69,19.19,12.41,21.48,"Republican"
"21","Crenshaw County","Alabama",1700,25.69,4864,73.51,53,0.8,6.8,11.1,42.5,14.4,8,11.9,5.3,0.5581,48557,78621,1576.95,8.37,13194,1.42,70.74,23.38,0.36,0.63,0.02,0.2,3.25,24.61,15.04,20.69,12.02,27.63,"Republican"
"22","Cullman County","Alabama",4478,10.7,36880,88.12,493,1.18,4.6,10.8,31.4,23.6,11.4,12.1,6.2,0.4425,58119,75873,1902.97,46.39,87866,4.72,89.11,1.04,0.33,0.59,0.07,0.17,3.97,28.55,16.72,22.62,13.6,18.51,"Republican"
"23","Dale County","Alabama",5170,26.19,14303,72.46,265,1.34,4.5,9.8,31.3,25.1,10.1,12.9,6.2,0.4432,52813,67432,1453.28,34.03,49326,6.6,66.09,20.48,0.44,1.31,0.09,0.33,4.66,28.07,18.61,20.68,14.03,18.61,"Republican"
"24","Dallas County","Alabama",12230,68.46,5524,30.92,110,0.62,3.4,11.2,39.7,19.4,10.6,10.1,5.6,0.4894,37180,53213,2534.92,15.12,38462,0.77,26.94,69.71,0.15,0.38,0.03,0.1,1.92,26.64,15.72,22.62,9.13,25.89,"Democrat"
"25","DeKalb County","Alabama",4281,14.58,24767,84.37,308,1.05,11.1,11.1,31.8,20.6,11.2,8.3,5.9,0.4555,47920,64545,2012.62,35.62,71608,16.4,76.15,1.42,1,0.33,0.02,0.12,4.56,26.77,16.24,16.74,14.55,25.7,"Republican"
"26","Elmore County","Alabama",10367,25.27,30164,73.52,499,1.22,3.4,8.1,33.8,20.7,9.9,15.8,8.4,0.4189,73258,90524,1601.95,54.74,87977,3.17,71.09,20.6,0.31,0.76,0.03,0.31,3.72,38.57,14.54,23.79,8.72,14.38,"Republican"
"27","Escambia County","Alabama",4918,30.91,10869,68.32,123,0.77,4.6,13.2,44.4,16.9,8.5,8.5,4,0.4673,41153,55542,2448.6,15.01,36757,2.04,59.86,29.71,4.05,0.29,0.06,0.13,3.84,24.99,20.35,21.4,12.23,21.04,"Republican"
"28","Etowah County","Alabama",11567,24.24,35528,74.44,633,1.33,4,9.9,33.4,24.2,10.8,10.8,6.9,0.4556,52177,69693,1385.92,74.57,103436,4.73,75.15,14.5,0.32,0.89,0.04,0.25,4.12,29.8,16.75,21.12,9.98,22.35,"Republican"
"29","Fayette County","Alabama",1395,15.91,7300,83.28,71,0.81,6.4,9.8,39.8,23.1,7.8,8.3,4.8,0.4876,45650,66681,1625.69,10.02,16321,2.43,83.03,10.54,0.26,0.3,0.01,0.18,3.25,23.71,14.17,17.76,11.05,33.31,"Republican"
"30","Franklin County","Alabama",2086,16.58,10376,82.49,116,0.92,6.1,13.8,40.1,18.1,7.1,10.3,4.5,0.4441,47359,63747,1641.95,19.5,32113,19.49,73.43,3.55,0.4,0.21,0.01,0.24,2.68,24.97,14.77,16.68,13.63,29.94,"Republican"
"31","Geneva County","Alabama",1595,12.71,10848,86.47,102,0.81,6.3,10.3,36.7,21.8,11,9.7,4.2,0.4363,47608,63491,1487.91,17.91,26659,4.86,81.23,8.37,0.62,0.32,0.03,0.27,4.3,31.9,16.76,19.64,15.01,16.69,"Republican"
"32","Greene County","Alabama",3884,81.34,875,18.32,16,0.34,2.8,15.3,37.1,20.4,7.6,10.6,6.1,0.4702,32796,48095,1675.78,4.6,7730,0.79,16.62,80.56,0.06,0.09,0,0.14,1.73,28.41,14.69,13.76,16.86,26.28,"Democrat"
"33","Hale County","Alabama",4687,59.16,3190,40.27,45,0.57,5.2,14.3,37.8,17.5,8.9,10.8,5.6,0.5119,35851,59052,1667.93,8.84,14785,1.01,40.39,56.23,0.23,0.12,0.03,0.16,1.83,37.88,18.2,17.17,7.4,19.34,"Democrat"
"34","Henry County","Alabama",2606,28.03,6607,71.06,85,0.91,5.8,12.7,32.8,18.7,9.1,14,7,0.4655,58395,73705,1455.29,11.88,17146,1.95,69.07,24.68,0.29,0.43,0,0.29,3.3,31.69,15.98,22.21,11.73,18.39,"Republican"
"35","Houston County","Alabama",12917,27.98,32618,70.64,638,1.38,3.6,8.8,32,23.5,9.7,14.3,8.1,0.4833,55064,78415,1501.74,71.28,107202,4.18,63.67,26.34,0.3,1.18,0.06,0.33,3.96,33.54,18.09,23.19,9.28,15.91,"Republican"
"36","Jackson County","Alabama",3717,15.73,19670,83.22,249,1.05,5.2,12.8,37.4,19.2,9.3,10.2,5.9,0.4574,46748,65829,2792.04,18.85,52579,3.2,85.82,3.09,1.29,0.41,0,0.21,5.98,31.92,13.58,17.08,13.24,24.18,"Republican"
"37","Jefferson County","Alabama",181688,55.76,138843,42.61,5317,1.63,2.5,6.5,26.1,21.2,8.2,21.2,14.4,0.5049,63595,93745,2878.88,233.52,674721,5.17,48.06,41.52,0.18,1.93,0.05,0.29,2.81,42.14,15.99,21.03,6.98,13.85,"Democrat"
"38","Lamar County","Alabama",978,13.6,6174,85.83,41,0.57,7,11,40.9,20.5,10.4,6.1,4.1,0.4259,49565,62422,1566.54,8.86,13972,1.49,85.34,10.17,0.2,0.04,0.02,0.16,2.58,27.5,13.03,20.03,9.83,29.6,"Republican"
"39","Lauderdale County","Alabama",11915,26.87,31721,71.54,703,1.59,3,8.3,34.9,20,8.1,16.1,9.8,0.4618,56081,76624,1730.16,54.52,93564,3.29,81.75,9.79,0.32,0.8,0.03,0.22,3.8,30.11,17.08,24.71,10.2,17.9,"Republican"
"40","Lawrence County","Alabama",3562,22.22,12322,76.86,147,0.92,5.7,11.6,41.1,18.5,7.3,10.1,5.7,0.4483,54786,72948,1788.86,18.51,33073,2.71,74.73,9.98,4.35,0.25,0.02,0.21,7.75,30.97,14.63,17.11,12.27,25.03,"Republican"
"41","Lee County","Alabama",27860,38.99,42221,59.09,1368,1.91,2.4,5.9,21.7,20.6,9.2,22.1,18,0.513,59288,84719,1573.53,111.29,174241,5.24,63.01,22.53,0.21,4.9,0.06,0.27,3.78,44.78,16.74,18.25,7.41,12.82,"Republican"
"42","Limestone County","Alabama",13672,27.77,34640,70.36,923,1.87,4.3,8.4,27.8,20.9,9.1,18.9,10.7,0.4272,80146,99315,1459.21,71.41,103570,7,73.08,12.72,0.44,1.79,0.07,0.31,4.59,40.26,12.95,19.13,10.35,17.31,"Republican"
"43","Lowndes County","Alabama",4972,72.74,1836,26.86,27,0.4,4.8,11.9,41.6,15.3,10.1,10.5,5.8,0.5197,33125,55548,1854.65,5.47,10311,1.36,27.22,69.33,0.09,0.15,0,0.05,1.8,24.52,12.99,20.23,10.33,31.93,"Democrat"
"44","Macon County","Alabama",7108,81.49,1541,17.67,74,0.85,3.8,13.5,31.7,23,7.5,10.7,9.8,0.4853,41206,57338,1576.44,12.18,19532,1.85,16.32,78.82,0.25,0.38,0.02,0.23,2.14,30.22,24.99,18.55,5.61,20.63,"Democrat"
"45","Madison County","Alabama",87286,44.82,102780,52.77,4701,2.41,2.2,5.5,19,20.5,7.6,26.8,18.3,0.4695,78058,107154,2076.14,187.74,388153,6.42,61.19,23.46,0.55,2.62,0.12,0.44,5.2,50.42,13.56,18.44,6.24,11.34,"Republican"
"46","Marengo County","Alabama",5488,50.35,5343,49.02,69,0.63,3.1,7.8,35.6,21.9,9.6,12.7,9.2,0.5163,42975,65484,2530.16,7.58,19323,1.9,43.34,52.44,0.03,0.28,0.01,0.21,1.79,29.48,18.66,20.09,11.41,20.35,"Democrat"
"47","Marion County","Alabama",1463,10.6,12205,88.4,139,1.01,6.1,13.2,35.5,21.7,11.6,7.1,4.7,0.4443,49743,62389,1922.66,15.19,29341,2.94,88.93,3.73,0.28,0.26,0.05,0.15,3.67,29.37,14.69,17.06,13.47,25.4,"Republican"
"48","Marshall County","Alabama",5943,14.99,33191,83.7,521,1.31,6.5,9.1,31.9,20.2,10.9,14.5,6.9,0.4567,58272,77500,1465.53,66.82,97612,16.04,76.49,2.35,0.43,0.59,0.13,0.2,3.76,33.17,16.06,18.92,10.9,20.95,"Republican"
"49","Mobile County","Alabama",79474,43.39,101243,55.27,2447,1.34,2.8,9.1,34.1,21,8.8,15.7,8.6,0.4694,55352,75532,3184.06,129.98,414809,3.24,54.65,35.06,0.9,2.05,0.05,0.31,3.73,34.47,17.36,20.82,10.73,16.62,"Republican"
"50","Monroe County","Alabama",4455,41.76,6147,57.62,66,0.62,3.5,12.8,44,17.5,8.7,7.8,5.7,0.4773,39965,57487,2656.47,7.46,19772,1.05,52.27,41.74,1.42,0.45,0,0.22,2.86,23.94,17.96,20.71,12.75,24.65,"Republican"
"51","Montgomery County","Alabama",64529,65.09,33311,33.6,1299,1.31,3.6,8.4,25.6,21.1,7.6,19.5,14.2,0.495,56707,79962,2034.06,112.16,228954,4.67,32.04,56.69,0.16,3.47,0.05,0.32,2.6,37.13,16.84,22.57,5.76,17.69,"Democrat"
"52","Morgan County","Alabama",13234,24.63,39664,73.83,824,1.53,6,8.8,30.8,21.6,9,15.9,7.9,0.4491,61588,82600,1501.34,81.99,123421,10.03,71.49,12.4,0.51,0.67,0.06,0.3,4.52,33.11,14.52,19.98,11.51,20.87,"Republican"
"53","Perry County","Alabama",3860,73.8,1339,25.6,31,0.59,6.6,13.8,42.9,16.1,5.3,10.1,5.1,0.3953,32332,41226,1863.94,4.55,8511,1.05,27.55,69.49,0.18,0.12,0.01,0,1.61,26.68,17.12,21.38,7.95,26.86,"Democrat"
"54","Pickens County","Alabama",4022,41.6,5594,57.86,52,0.54,6.4,8.6,41.1,20.1,9.2,9,5.5,0.4814,45339,66279,2282.84,8.29,19123,5.51,52.64,38.95,0.12,0.41,0,0.06,2.32,31.66,15.88,15.05,12.37,25.04,"Republican"
"55","Pike County","Alabama",5636,40.72,8042,58.1,163,1.18,3.1,9,36.2,18.5,5.4,15.7,12,0.5191,42616,67849,1740.65,18.96,33009,2.74,54.64,36.56,0.51,1.75,0.03,0.35,3.42,34.31,18.24,21.61,7.76,18.09,"Republican"
"56","Randolph County","Alabama",2203,20.33,8559,78.98,75,0.69,6.1,11.9,34.9,18.4,10,12.1,6.7,0.4697,49879,67742,1503.62,14.75,21967,2.75,75.7,17.36,0.23,0.39,0,0.23,3.33,31.37,14.69,17.62,9.06,27.26,"Republican"
"57","Russell County","Alabama",11228,52.64,9864,46.25,237,1.11,5.5,9.3,29.6,26,13.3,10.3,6.1,0.4664,47420,62441,1660.65,35.44,59183,5.4,45.08,43.81,0.3,0.69,0.22,0.4,4.1,29.06,15.75,22.98,10.74,21.48,"Democrat"
"58","Shelby County","Alabama",33268,28.94,79700,69.33,1982,1.72,2,4.2,20.2,20.1,7.9,29.8,15.8,0.4441,90618,118066,2034.28,110.07,223024,7.38,72.96,12.87,0.21,2.29,0.04,0.36,3.88,47.53,13.25,21.44,7.79,9.99,"Republican"
"59","St. Clair County","Alabama",7744,17.43,36166,81.38,531,1.19,4.1,8.7,35.5,23.2,9.2,13.3,6,0.4081,73218,88263,1635.76,56.07,91103,2.83,82.28,9.46,0.27,0.72,0.02,0.26,4.16,35.05,15.3,22.27,11.92,15.45,"Republican"
"60","Sumter County","Alabama",4648,73.88,1598,25.4,45,0.72,2.5,8.6,32.2,27.7,7.1,12.3,9.5,0.4823,31726,49122,2340.9,5.21,12345,1.06,23.79,72.54,0.21,0.83,0.02,0.07,1.47,25.33,20.05,23.66,11.58,19.38,"Democrat"
"61","Talladega County","Alabama",13138,36.84,22235,62.35,290,0.81,4.5,12.3,34.9,23.9,7.8,9.8,6.8,0.4797,52457,70872,1908.35,42.5,82149,2.17,61.76,32.06,0.22,0.48,0.03,0.25,3.03,27.82,15.19,20.44,11.45,25.1,"Republican"
"62","Tallapoosa County","Alabama",5859,27.91,14963,71.28,169,0.81,5.1,13,32.1,22.6,9,11.4,6.7,0.4892,53282,71359,1855.8,22.23,41311,2.77,68.39,25.09,0.2,0.54,0,0.22,2.79,25.64,16.45,23.37,12.62,21.92,"Republican"
"63","Tuscaloosa County","Alabama",37765,41.88,51117,56.69,1290,1.43,2.5,6.8,29.4,21.4,9,18.2,12.7,0.4713,61645,82543,3420.98,67.69,227036,5.42,59.41,30.29,0.18,1.43,0.04,0.35,2.88,37.35,15.53,20.14,8.89,18.09,"Republican"
"64","Walker County","Alabama",4834,15.51,26002,83.42,334,1.07,5.3,12.1,34.8,21.6,11,9.4,5.9,0.4543,52987,68336,2048.76,31.72,65342,3.29,86.31,5.95,0.29,0.43,0,0.21,3.52,27.89,17.5,21.53,12.83,20.24,"Republican"
"65","Washington County","Alabama",2258,25.44,6564,73.95,54,0.61,2.8,8.9,43.8,22.7,7.5,6.7,7.5,0.4965,51184,76832,2797.85,5.52,15388,0.9,66.72,21.56,7.16,0.09,0.01,0.15,3.41,31.9,16.86,14.59,13.54,23.1,"Republican"
"66","Wilcox County","Alabama",4048,68.58,1833,31.05,22,0.37,5.7,16.6,40.4,20.5,5.2,7.8,3.8,0.4578,38208,50522,2299.54,4.54,10600,1.06,27.04,70.05,0.1,0.07,0.05,0.15,1.49,24.19,15.31,21.76,16.62,22.12,"Democrat"
"67","Winston County","Alabama",974,8.63,10195,90.35,115,1.02,5.9,14,40.4,18.4,7.5,8.1,5.7,0.4547,49494,66201,1587.66,14.9,23540,3.46,91.75,0.56,0.35,0.25,0.04,0.17,3.43,27.5,11.07,19.1,13.67,28.65,"Republican"
"68","Aleutians East Borough","Alaska",180,32.85,336,61.31,32,5.84,9.8,9.2,39.4,18.7,6.1,12.7,4.3,0.3727,79961,88309,18094.31,0.19,3420,19.71,19.24,8.68,23.3,22.54,0.94,0.32,5.26,21.91,8.68,11.19,14.23,43.99,"Republican"
"69","Aleutians West Census Area","Alaska",692,53.98,551,42.98,39,3.04,6.2,4.2,41.3,25.2,7.5,13.2,2.3,0.3254,100662,117300,11377.89,0.46,5232,12.77,30.29,4.91,13.55,28.71,4.55,0.19,5.03,16.1,14.55,14.67,12.48,42.2,"Democrat"
"70","Anchorage Municipality","Alaska",70933,48.87,68189,46.97,6031,4.16,2.1,3.7,24.5,24.1,8.6,23,14,0.4291,95731,122032,4421.12,65.75,291247,9.08,54.33,4.73,7.72,9.37,3.38,0.66,10.74,41.74,18.14,20.81,8.1,11.21,"Democrat"
"71","Bethel Census Area","Alaska",3085,60.41,1670,32.7,352,6.89,6.3,11,47.9,17.9,7.3,5.3,4.4,0.4603,64094,85288,105253.43,0.18,18666,1.11,8.72,0.45,83.47,1.08,0.01,0.1,5.06,31.36,18.39,23.32,12.54,14.39,"Democrat"
"72","Bristol Bay Borough","Alaska",193,38.14,304,60.08,9,1.78,2,3,28.3,31.9,8.5,21.9,4.4,0.4087,94167,116487,1248.25,0.68,844,5.33,42.3,0.71,35.07,0.59,0.36,0.24,15.4,35.53,13.65,19.76,16.94,14.12,"Republican"
"73","Chugach Census Area","Alaska",1395,39.59,1938,54.99,191,5.42,1.8,3.7,23.8,27.8,11.5,20.3,11.2,0.3721,83068,103289,24683.09,0.28,7102,5.59,67.14,0.65,9.25,7.42,0.86,0.37,8.73,40.55,15.01,14.05,18,12.39,"Republican"
"74","Copper River Census Area","Alaska",480,28.43,1130,66.9,79,4.68,2.1,5.5,29.1,28.9,6.4,19,9,0.4125,70606,88145,63953.07,0.04,2617,3.21,60.79,0.23,24.65,0.65,0.38,0.57,9.51,39.5,18.51,19.4,16.73,5.87,"Republican"
"75","Denali Borough","Alaska",478,41.17,637,54.87,46,3.96,1.1,2.2,46.8,16.3,8.4,13.7,11.5,0.3805,87292,98536,32740.17,0.06,1619,1.98,85.11,0.56,3.64,0.8,0.19,0.25,7.47,24.85,16.44,6.77,41.22,10.71,"Republican"
"76","Dillingham Census Area","Alaska",984,51.6,822,43.1,101,5.3,4.1,7.8,41.6,19.5,6.5,11.3,9.1,0.4092,69412,86298,47484.83,0.1,4857,3.01,15.85,0.39,70.25,0.93,0.19,0.14,9.24,41.76,18.91,13.8,14.01,11.52,"Democrat"
"77","Fairbanks North Star Borough","Alaska",18138,40.11,24917,55.1,2165,4.79,1.9,3.5,25.3,26.7,9.7,19.6,13.3,0.4242,81655,107852,18996.92,5.07,95655,7.65,66.05,3.98,7.63,3.17,0.61,0.85,10.06,38.43,19.2,21.23,10.22,10.92,"Republican"
"78","Haines Borough","Alaska",1579,60.13,986,37.55,61,2.32,0.8,1.5,34.4,25.1,4.4,16.8,16.9,0.4181,68276,76099,6069.91,0.34,2080,3.22,75.82,0.1,9.86,0.67,0.1,0.43,9.81,36.6,19.85,16.87,17.49,9.18,"Democrat"
"79","Hoonah-Angoon Census Area","Alaska",1645,71.49,577,25.08,79,3.43,0.7,5.3,33.6,23.2,9.6,20.4,7.1,0.4693,62344,84200,16989.57,0.14,2365,5.07,47.48,0.25,35.56,0.63,0.17,0.68,10.15,43.06,15.23,16.77,10.64,14.3,"Democrat"
"80","Juneau City and Borough","Alaska",10834,61.25,6210,35.11,643,3.64,1,3.5,22.1,23.4,9.2,25.8,14.9,0.4037,95711,117189,7003.85,4.58,32255,6.44,60.99,1.02,10.53,6.47,1.45,0.57,12.53,44.35,16.2,18.71,11.13,9.61,"Democrat"
"81","Kenai Peninsula Borough","Alaska",10965,32.3,21761,64.1,1222,3.6,1.6,4.2,30.8,26.5,8.9,17.6,10.4,0.454,76272,99127,41485.21,1.43,58799,3.96,77.46,0.61,6.98,1.35,0.29,0.63,8.71,38.84,18.75,15.62,14.41,12.38,"Republican"
"82","Ketchikan Gateway Borough","Alaska",2467,36.4,3985,58.79,326,4.81,1.1,4.1,28.5,31.2,6.6,19.3,9.2,0.4376,82763,108405,12579.62,1.11,13948,4.66,58.94,0.72,16.23,8.02,0.19,0.67,10.58,35.69,20.87,19.87,11.17,12.4,"Republican"
"83","Kodiak Island Borough","Alaska",2523,38.18,3756,56.84,329,4.98,4.3,4.5,29,24.2,9.5,19.2,9.3,0.4005,91138,106803,17325.67,0.75,13101,7.82,48.02,0.65,13.43,21.23,0.82,0.56,7.48,29.76,17.49,18.88,11.96,21.91,"Republican"
"84","Kusilvak Census Area","Alaska",1209,62,569,29.18,172,8.82,3.9,14.7,55.7,18.2,2.9,4,0.6,0.4451,42663,57035,44229.46,0.19,8368,0.17,2.07,0.19,94.96,0.27,0,0.17,2.17,26.43,23.86,20.51,10.91,18.3,"Democrat"
"85","Lake and Peninsula Borough","Alaska",358,55.59,234,36.34,52,8.07,3.8,5.4,45,23,7.2,8.6,6.9,0.3936,61607,72594,61724.23,0.02,1476,2.3,20.12,0.07,67.28,0.47,0,0,9.76,36.76,20.12,10.06,22.18,10.88,"Democrat"
"86","Matanuska-Susitna Borough","Alaska",12849,24,38492,71.9,2195,4.1,1.7,4,33.2,26.3,11.1,15.3,8.4,0.4189,86435,106734,63991.63,1.7,107081,4.9,75.69,0.99,6.1,1.41,0.44,0.73,9.73,36.08,17.47,18.72,16.95,10.78,"Republican"
"87","Nome Census Area","Alaska",2131,58.1,1287,35.09,250,6.82,3.3,8.5,43.4,23.1,3.4,7.8,10.5,0.4439,70121,89721,59490.75,0.17,10046,1.85,13.87,0.52,74.74,1.09,0.05,0.25,7.64,41.24,18.5,19.96,9.12,11.18,"Democrat"
"88","North Slope Borough","Alaska",1134,45.4,1197,47.92,167,6.69,2.8,6.5,43,24.7,8.7,9.5,4.7,0.443,83472,109311,230052.12,0.05,11031,4.97,26.87,1.44,51.49,5.77,2.91,0.27,6.28,31.36,13.08,15.79,23.19,16.58,"Republican"
"89","Northwest Arctic Borough","Alaska",1031,54.12,735,38.58,139,7.3,4.1,9.9,46.2,20.5,4.2,10,5.1,0.4208,77647,96030,92367.47,0.08,7793,1.31,8.78,0.91,82.81,0.68,0.14,0,5.38,36.85,12.01,17.52,18.81,14.82,"Democrat"
"90","Petersburg Borough","Alaska",534,33.21,1002,62.31,72,4.48,8.7,4.3,31.8,22.3,8,17.7,7.1,0.4251,77826,96770,7513.11,0.45,3398,4.83,71.92,1.35,6.8,3.44,0.35,0.62,10.68,24.37,20.78,20.84,13.53,20.48,"Republican"
"91","Prince of Wales-Hyder Census Area","Alaska",2321,52.91,1930,43.99,136,3.1,1.3,6.2,36.4,28.1,8.6,13.6,5.8,0.425,61779,80427,13643.58,0.43,5753,2.78,41.16,0.37,43.96,0.43,0.52,0.28,10.5,33.55,17.45,20.95,13.08,14.97,"Democrat"
"92","Sitka City and Borough","Alaska",2124,52.69,1745,43.29,162,4.02,2,2.8,25.8,25.4,9.9,22.9,11.3,0.3721,95261,104872,7433.43,1.14,8458,5.92,59.71,0.44,14.26,6.77,0.17,0.63,12.11,40.71,15.93,22.64,10.99,9.73,"Democrat"
"93","Skagway Municipality","Alaska",679,71.17,217,22.75,58,6.08,5.3,2.1,34,24.4,6.4,22.1,5.8,0.3547,79583,91563,1123.98,1.16,1240,3.31,85.16,0.48,1.85,3.15,0,0.48,5.56,28.19,25.87,25.48,8.11,12.36,"Democrat"
"94","Southeast Fairbanks Census Area","Alaska",748,20.19,2823,76.19,134,3.62,2.1,4.2,36.6,27.8,9.5,13.7,6.1,0.4239,75378,85484,64315.28,0.11,6808,5.52,73.34,1,11.68,1.28,0.19,0.34,6.65,28.37,23.95,13.79,18.9,14.99,"Republican"
"95","Wrangell City and Borough","Alaska",396,31.01,827,64.76,54,4.23,1.7,11.2,33.4,26,9.6,13.9,4.1,0.4125,61000,80656,6620.35,0.32,2127,3.57,63.05,0,17.3,1.18,0.09,0.52,14.29,36.44,15.83,15.09,15.46,17.18,"Republican"
"96","Yakutat City and Borough","Alaska",160,50.47,133,41.96,24,7.57,1,5,43.6,29.2,10.3,9.6,1.3,0.2936,76875,89580,19749.31,0.03,662,4.38,37.46,0.3,37.76,4.83,0.15,0,15.11,28.57,19.88,14.6,8.39,28.57,"Democrat"
