"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"1311","Tuscola County","Michigan",8712,29.59,20297,68.93,436,1.48,1.9,6.6,45.5,20.7,10.1,10.3,5,0.4037,59815,73290,2084.53,25.53,53323,3.39,91.16,0.75,0.33,0.29,0.02,0.25,3.81,26.69,18.19,19.85,14.26,21.01,"Republican"
"1312","Van Buren County","Michigan",16803,43.01,21591,55.27,672,1.72,4.5,7.1,32.7,23.5,10.1,14.2,8,0.4286,65531,81574,1574.18,48.05,75587,11.86,78.58,3.11,0.73,0.51,0.04,0.38,4.8,31.23,18.01,18.68,11.96,20.12,"Republican"
"1313","Washtenaw County","Michigan",157136,72.61,56241,25.99,3041,1.41,1.4,2.9,14.4,17.2,6.8,26.9,30.6,0.489,84245,118384,1828.54,202.47,372258,5.57,67.75,11.32,0.19,9,0.05,0.55,5.56,56.54,14.59,15.86,4.04,8.98,"Democrat"
"1314","Wayne County","Michigan",597170,68.45,264553,30.32,10746,1.23,3.9,8.3,29.6,23.2,8.5,16,10.5,0.4903,57223,81036,1584.64,1124.32,1793561,6.56,47.79,37.32,0.24,3.6,0.02,0.44,4.03,35.85,18.38,20.18,6.61,18.98,"Democrat"
"1315","Wexford County","Michigan",5838,31.96,12102,66.26,325,1.78,2.6,7.4,36.3,23.7,10.2,13,6.9,0.4359,58652,74610,1463.15,23.08,33673,2.35,91.42,0.56,0.48,0.55,0,0.33,4.31,30.93,15.36,18.98,9.14,25.59,"Republican"
"1316","Aitkin County","Minnesota",3607,35.98,6258,62.42,160,1.6,1.6,5.8,37.2,24.9,12.1,12.5,5.8,0.4357,56406,71757,4717.32,3.36,15697,1.4,92.24,0.37,2.4,0.24,0.01,0.16,3.19,30.6,18.29,22.09,13.65,15.37,"Republican"
"1317","Anoka County","Minnesota",100893,47.79,104902,49.69,5337,2.53,2.3,3.5,27.4,22.7,12.7,22.7,8.8,0.3883,95782,113763,1092.91,333.04,363887,5.36,75.9,7.8,0.53,5.26,0.03,0.39,4.74,39.28,14.71,21.57,8.47,15.97,"Republican"
"1318","Becker County","Minnesota",6589,33.96,12438,64.11,374,1.93,2,4.8,28.8,23.4,14.6,18.1,8.2,0.4721,68683,93555,3405.93,10.34,35183,1.63,84.26,0.57,6.87,0.44,0.03,0.28,5.91,37.42,17.87,17.43,11.77,15.52,"Republican"
"1319","Beltrami County","Minnesota",11426,47.24,12188,50.39,575,2.38,1.9,5.7,26.5,21.7,12.8,19.3,12.2,0.4375,62173,81939,6486.99,7.13,46228,2.4,70.18,1.12,19.9,0.58,0.03,0.29,5.5,37.64,20.91,20.38,9.51,11.56,"Republican"
"1320","Benton County","Minnesota",7280,32.7,14382,64.61,598,2.69,2,6.3,28.8,23.9,15.3,16.5,7.1,0.3927,70346,87758,1057.5,39.05,41379,2.94,86.57,4.81,0.44,1.12,0.02,0.26,3.84,34.13,17.34,21.16,10.25,17.11,"Republican"
"1321","Big Stone County","Minnesota",1053,35.41,1863,62.64,58,1.95,3.2,3.4,38.9,17.9,16.2,12.7,7.7,0.4411,63024,79511,1292.74,3.99,5166,2.71,93.09,0.37,0.66,0.23,0.08,0.66,2.21,38.94,14.92,20.13,10.72,15.3,"Republican"
